address,price,area,rooms,year,type,url,price_per_m2,lat,lon,date,floor,ownership,postal_code,city
Stillverksveien 18,2800000,29,,2004.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299178583,96551,59.9529001,11.048234,19/04/2023,4.0,Eier (Selveier),2004,Lillestrøm
Asphaugen 15,2800000,144,4.0,1963.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299558344,19444,67.024965,14.026342,19/04/2023,,Eier (Selveier),8140,Inndyr
Brænnes veg 25,13100000,302,9.0,2004.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=298544262,43377,63.405291,10.345946,19/04/2023,,Eier (Selveier),7022,Trondheim
Ekholt hageby 5D,4300000,120,4.0,1961.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=299378803,35833,59.4103242,10.6821237,19/04/2023,2.0,Andel,1526,Moss
Kuhnlevegen 246,2700000,61,,1991.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299557355,44262,60.1782693,5.4601008,19/04/2023,1.0,Eier (Selveier),5209,Os
Maridalsveien 49 A,6950000,50,,1898.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299557288,139000,59.928715,10.752906,19/04/2023,,Andel,458,Oslo
Fossegrenda 29 A,3390000,90,3.0,1977.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299556517,37666,63.388669,10.412749,19/04/2023,5.0,Eier (Selveier),7038,Trondheim
Støperiveien 8,3100000,38,2.0,2009.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299556627,81578,59.946633,11.007795,19/04/2023,4.0,Eier (Selveier),2010,Strømmen
Ottar Landfalds veg 45,4250000,220,,1969.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299556585,19318,60.779076,11.125647,19/04/2023,,Eier (Selveier),2312,Ottestad
Bibliotekgata 32,3590000,56,2.0,1987.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299522008,64107,59.927131,10.956483,19/04/2023,1.0,Eier (Selveier),1473,Lørenskog
Tangen 42,2080000,40,2.0,2008.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=293314966,52000,58.146867,8.0093968,19/04/2023,4.0,Andel,4608,Kristiansand S
Sjøveien 1,2490000,66,,1953.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299555994,37727,59.2407661,10.4252574,19/04/2023,2.0,Andel,3120,Nøtterøy
Grønnegata 8H,2990000,85,3.0,2002.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=292292096,35176,69.6462782,18.9493829,19/04/2023,3.0,Andel,9008,Tromsø
Holdervegen 7,1180000,180,,1949.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299555650,6555,64.0869504,11.2302227,19/04/2023,,Eier (Selveier),7790,Malm
Bogsnesvegen 23A,990000,132,5.0,1967.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=299404682,7500,59.8634608,5.7480447,19/04/2023,3.0,Andel,5460,Husnes
Rosenli 15,2500000,61,,1972.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299517018,40983,58.9621171,5.7650359,19/04/2023,17.0,Andel,4015,Stavanger
Goakvednane 2B,1100000,82,,2014.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299249156,13414,58.9867248,5.6173412,19/04/2023,2.0,Andel,4073,Randaberg
Tordenskjolds gate 81,2350000,71,3.0,1962.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299533843,33098,58.152626,7.9966532,19/04/2023,6.0,Andel,4614,Kristiansand S
Vartdalsvegen 17,1000000,161,6.0,1952.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299554341,6211,62.2986532,6.0817613,19/04/2023,,Eier (Selveier),6170,Vartdal
Nøstebakken 15,7490000,229,6.0,1969.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299383799,32707,59.7489726,10.2296978,19/04/2023,,Eier (Selveier),3413,Lier
Nothenget 18,3090000,78,3.0,1990.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=299553620,39615,63.682511,9.6643393,19/04/2023,1.0,Eier (Selveier),7130,Brekstad
Blåklokkesvingen 107,3490000,126,4.0,2011.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299534629,27698,58.3985417,8.6895675,19/04/2023,2.0,Eier (Selveier),4823,Nedenes
Herslebs gate 7A,5900000,85,3.0,1894.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299552746,69411,59.918638,10.762711,19/04/2023,4.0,Eier (Selveier),561,Oslo
Hans Nordahls gate 18,440000,12,,2021.0,Garasje/Parkering,https://www.finn.no/realestate/homes/ad.html?finnkode=295174174,36666,59.939572,10.779959,19/04/2023,,Eier (Selveier),481,Oslo
Lurevegen 948,2600000,178,8.0,1977.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299552965,14606,60.6603567,5.1829262,19/04/2023,,Eier (Selveier),5912,Seim
Hulderveien 3A,1800000,91,,1991.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299552994,19780,59.4431966,11.3256067,19/04/2023,,Andel,1890,Rakkestad
Dreggen 20B,3890000,88,3.0,1993.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299443643,44204,69.6968295,18.9701121,19/04/2023,2.0,Eier (Selveier),9017,Tromsø
Vestre Moholt-tun 14,2490000,42,2.0,1967.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299552572,59285,63.4093551,10.4342076,19/04/2023,3.0,Andel,7050,Trondheim
Granholmveien 66,6900000,185,7.0,,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=298598298,37297,59.0895472,10.2182043,19/04/2023,2.0,Eier (Selveier),3230,Sandefjord
Elisenbergveien 15,22000000,143,,1902.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=293232112,153846,59.918587,10.705044,19/04/2023,5.0,Eier (Selveier),265,Oslo
Kolsåsen 12,6990000,333,5.0,1980.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299439585,20990,63.374575,10.331586,19/04/2023,,Eier (Selveier),7079,Flatåsen
Solvangveien 19,4490000,695,,2011.0,Gårdsbruk/Småbruk,https://www.finn.no/realestate/homes/ad.html?finnkode=283023231,6460,58.249919,7.103102,19/04/2023,2.0,Eier (Selveier),4588,Kvås
Jernbanealleen 36C,2350000,59,2.0,1989.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299551187,39830,59.1345171,10.2229233,19/04/2023,2.0,Andel,3210,Sandefjord
Filerveien 13,4200000,65,3.0,1963.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299531811,64615,59.901471,10.846183,19/04/2023,4.0,Andel,684,Oslo
Stokkbekken 24,8490000,187,5.0,2012.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=294570990,45401,63.4126037,10.4786118,19/04/2023,3.0,Eier (Selveier),7048,Trondheim
Kirkeringen 4,3896000,57,3.0,2023.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299551002,68350,63.34944,10.353521,19/04/2023,4.0,Eier (Selveier),7080,Heimdal
Flaktveitvegen 734,2565000,62,,1985.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=296760581,41370,60.4645339,5.369965,19/04/2023,4.0,Eier (Selveier),5134,Flaktveit
Heimdalsgata 9,4500000,46,,1898.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=298887259,97826,59.917781,10.762273,19/04/2023,3.0,Eier (Selveier),561,Oslo
Nedre Rønvik terrasse 2,2900000,82,3.0,2007.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=261684586,35365,67.2995204,14.4103081,19/04/2023,4.0,Andel,8012,Bodø
Steinspranget 68,2900000,31,1.0,1962.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299550380,93548,59.864003,10.826622,19/04/2023,4.0,Andel,1157,Oslo
Kirkeringen 4,3695000,52,3.0,2023.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299550457,71057,63.34944,10.353521,19/04/2023,3.0,Eier (Selveier),7080,Heimdal
Solstrandvegen 172A,2500000,61,3.0,2006.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299550450,40983,69.6244758,18.9493294,19/04/2023,2.0,Andel,9020,Tromsdalen
Vestlundveien 24E,3890000,57,2.0,2020.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299548734,68245,60.362098,5.288595,19/04/2023,3.0,Eier (Selveier),5145,Fyllingsdalen
Traneveien 12,11990000,220,6.0,1981.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=272317845,54500,59.1043545,10.2203019,19/04/2023,,Eier (Selveier),3209,Sandefjord
Refsnesalleen 81 D,2900000,68,,1966.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=297696560,42647,59.4450426,10.6185429,19/04/2023,3.0,Andel,1518,Moss
Kolbrækveien 71,2390000,105,3.0,1965.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299504940,22761,59.8081194,9.9000842,19/04/2023,1.0,Eier (Selveier),3303,Hokksund
Røyksoppvegen 16,3990000,96,4.0,2019.0,Rekkehus,https://www.finn.no/realestate/homes/ad.html?finnkode=299351916,41562,63.474934,10.961515,19/04/2023,,Eier (Selveier),7506,Stjørdal
Hangursvegen 42,2900000,70,2.0,1977.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299256222,41428,60.628336,6.39634,19/04/2023,,Andel,5704,Voss
Solstrandvegen 137B,4790000,108,4.0,2006.0,Leilighet,https://www.finn.no/realestate/homes/ad.html?finnkode=299483337,44351,69.6303549,18.9560926,19/04/2023,2.0,Eier (Selveier),9020,Tromsdalen
Gamle Bjørntvedtveg 17,3650000,231,4.0,1952.0,Enebolig,https://www.finn.no/realestate/homes/ad.html?finnkode=299549546,15800,59.1867265,9.6028129,19/04/2023,,Eier (Selveier),3734,Skien
